career,annual_average_income,job_demands,job_description,required_skills,required_interests,personality_fit,technical_skills,analytical_skills,communication_skills,creativity,adaptability,education_level,interest_in_tech,interest_in_design,interest_in_management,openness,conscientiousness,extraversion,agreeableness,neuroticism
Data Scientist,1500000,"Office-based, moderate mental stress","Analyze data, build predictive models","Python,SQL,Machine Learning","Technology,Analytics","High openness, high conscientiousness",0.90,0.95,0.70,0.65,0.80,1.0,0.95,0.40,0.50,0.85,0.90,0.60,0.75,0.30
Machine Learning Engineer,1400000,"Office-based, tight deadlines","Develop and deploy ML algorithms","Python,TensorFlow,Math","Technology,Research","High analytical thinking, moderate openness",0.92,0.93,0.65,0.60,0.80,1.0,0.95,0.35,0.55,0.80,0.88,0.55,0.60,0.35
AI Research Scientist,1800000,"Academic/industrial research stress","Research cutting-edge AI methods","Python,R,Deep Learning","Technology,Research","High openness, high intellectual curiosity",0.95,0.97,0.60,0.70,0.75,1.0,0.98,0.30,0.40,0.90,0.90,0.50,0.50,0.30
Software Developer,1000000,"Office-based, problem-solving stress","Write and maintain software applications","Java,Data Structures,Debugging","Technology,Problem-Solving","Moderate openness, moderate conscientiousness",0.85,0.85,0.70,0.60,0.75,0.60,0.90,0.45,0.55,0.70,0.75,0.60,0.65,0.40
Cybersecurity Analyst,1100000,"Frequent on-call, mental stress","Protect systems from security breaches","Networking,Encryption,Pen Testing","Technology,Law Enforcement","Moderate openness, high conscientiousness",0.88,0.90,0.65,0.55,0.85,0.80,0.92,0.40,0.50,0.60,0.85,0.50,0.65,0.45
UX/UI Designer,800000,"Creative pressure, tight deadlines","Design intuitive user interfaces","Prototyping,User Research,Adobe XD","Arts,Design,Technology","High creativity, moderate conscientiousness",0.70,0.75,0.80,0.95,0.80,0.60,0.65,0.98,0.50,0.90,0.70,0.55,0.70,0.40
Cloud Architect,1300000,"Scalable solutions, on-call","Design and manage cloud infrastructure","AWS,Networking,DevOps","Technology,Architecture","Moderate openness, high conscientiousness",0.90,0.88,0.70,0.60,0.80,1.0,0.92,0.40,0.50,0.75,0.85,0.65,0.65,0.35
Robotics Engineer,1250000,"Lab work, hardware complexity","Develop robotic systems for automation","Embedded C,Mechanical Design,ROS","Technology,Manufacturing","High analytical, moderate agreeableness",0.92,0.90,0.65,0.70,0.80,1.0,0.90,0.55,0.45,0.80,0.82,0.50,0.55,0.40
Renewable Energy Engineer,900000,"Field visits, sustainable solutions","Design renewable energy systems","Solar Tech,Wind Turbines,Electrical","Environment,Technology","High conscientiousness, moderate openness",0.85,0.80,0.65,0.70,0.85,0.80,0.85,0.60,0.50,0.85,0.80,0.65,0.70,0.35
Fintech Analyst,950000,"Fast-paced, tight deadlines","Analyze financial data using tech solutions","Finance,Python,Analytics","Business,Technology","Moderate openness, high conscientiousness",0.88,0.90,0.70,0.60,0.75,0.80,0.90,0.40,0.55,0.70,0.80,0.60,0.60,0.45
Healthcare Data Analyst,850000,"Healthcare compliance, accuracy","Interpret patient or hospital data","SQL,Statistics,Healthcare","Healthcare,Research","Moderate openness, moderate agreeableness",0.75,0.85,0.70,0.55,0.75,0.80,0.80,0.40,0.45,0.60,0.75,0.50,0.50,0.40
Genetic Counselor,700000,"Patient interaction, ethical constraints","Assess genetic risks, advise patients","Genetics,Counseling,Research","Healthcare,Research","High agreeableness, moderate openness",0.60,0.70,0.85,0.65,0.75,1.0,0.65,0.40,0.65,0.80,0.75,0.70,0.75,0.50
Autonomous Vehicle Engineer,1400000,"Hardware-software integration","Design self-driving car systems","C++,Sensors,Control Systems","Technology,Transportation","High openness, high analytical skills",0.94,0.92,0.65,0.65,0.85,1.0,0.97,0.40,0.50,0.80,0.88,0.50,0.55,0.35
Drone Operator,600000,"Field travel, precise controls","Operate and maintain drones","Flight Control,Regulations,Electronics","Technology,Aerial Services","Moderate openness, moderate conscientiousness",0.75,0.70,0.60,0.60,0.65,0.50,0.80,0.40,0.40,0.65,0.70,0.55,0.50,0.45
Quantum Computing Researcher,2000000,"High complexity, research stress","Explore quantum algorithms and hardware","Quantum Mechanics,Linear Algebra,Qiskit","Research,Technology","High openness, high intellectual curiosity",0.98,0.98,0.55,0.70,0.75,1.0,0.98,0.30,0.40,0.90,0.90,0.60,0.45,0.30
Blockchain Developer,1200000,"Fast-paced, emerging tech","Build decentralized applications","Solidity,Smart Contracts,Cryptography","Technology,Business","Moderate openness, moderate conscientiousness",0.93,0.90,0.65,0.60,0.80,0.80,0.95,0.45,0.50,0.70,0.80,0.60,0.55,0.35
Full Stack Developer,1000000,"Agile environment, multi-tasking","Develop front-end and back-end solutions","JavaScript,Node.js,React","Technology,Problem-Solving","Moderate openness, moderate extraversion",0.88,0.85,0.70,0.60,0.75,0.60,0.90,0.50,0.55,0.70,0.75,0.60,0.65,0.40
IoT Solutions Architect,1300000,"System integration, IoT devices","Plan and implement IoT ecosystems","Embedded Systems,Cloud,Networking","Technology,Manufacturing","Moderate openness, high analytical skills",0.92,0.90,0.65,0.60,0.80,1.0,0.93,0.50,0.55,0.75,0.84,0.55,0.60,0.35
AR/VR Developer,900000,"Creative dev, user experience","Create augmented/virtual reality apps","Unity,3D Modeling,C#","Technology,Arts","High creativity, moderate openness",0.85,0.80,0.70,0.90,0.80,0.60,0.88,0.95,0.40,0.85,0.82,0.60,0.70,0.45
Industrial Designer,750000,"Production constraints, creative demands","Design products balancing form/function","CAD,Materials,User Research","Arts,Manufacturing","High creativity, moderate conscientiousness",0.70,0.75,0.80,0.90,0.70,0.60,0.65,0.90,0.50,0.80,0.70,0.55,0.65,0.40
Civil Services Officer,600000,"High responsibility, public-facing","Manage government policies, public welfare","Administration,Leadership,Policy","Government,Civil Services","High conscientiousness, moderate openness",0.50,0.60,0.85,0.50,0.75,1.0,0.65,0.40,0.80,0.60,0.80,0.60,0.65,0.35
Urban Planner,650000,"Regulatory adherence, site analysis","Plan city layouts and infrastructure","GIS,Zoning,Architecture","Government,Environment","Moderate openness, moderate conscientiousness",0.55,0.70,0.80,0.60,0.70,0.80,0.65,0.40,0.75,0.65,0.75,0.55,0.60,0.40
Digital Marketing Specialist,700000,"Client pressure, creative deadlines","Create and execute online marketing strategies","SEO,Social Media,Analytics","Business,Marketing","Moderate extraversion, moderate creativity",0.65,0.70,0.85,0.80,0.80,0.60,0.60,0.80,0.75,0.78,0.70,0.60,0.65,0.45
Content Strategist,600000,"Creative writing, deadlines","Plan and produce content for brands","Writing,SEO,Editorial Skills","Marketing,Media","Moderate openness, moderate agreeableness",0.50,0.65,0.85,0.80,0.80,0.60,0.60,0.70,0.80,0.70,0.65,0.60,0.65,0.40
Big Data Engineer,1300000,"High volume data, system design","Build and maintain big data pipelines","Hadoop,Spark,Scala","Technology,Analytics","High analytical, moderate openness",0.93,0.95,0.60,0.60,0.80,1.0,0.95,0.35,0.50,0.80,0.88,0.55,0.55,0.35
Environmental Scientist,800000,"Field work, data collection","Research environmental issues, propose solutions","Data Analysis,Field Research,Policy","Environment,Research","High openness, moderate agreeableness",0.75,0.85,0.70,0.70,0.90,0.80,0.60,0.70,0.50,0.80,0.85,0.50,0.65,0.40
Solar Panel Technician,450000,"Field installations, moderate physical","Install and maintain solar panels","Electrical,Hands-on,Diagnostics","Energy,Technology","Moderate openness, moderate conscientiousness",0.60,0.65,0.50,0.50,0.70,0.50,0.70,0.40,0.30,0.50,0.65,0.60,0.50,0.45
Ethical Hacker,1000000,"Frequent testing, mental load","Test and secure systems against hacks","Pen Testing,Linux,Exploit Research","Technology,Security","Moderate openness, high conscientiousness",0.90,0.92,0.65,0.60,0.80,0.80,0.95,0.40,0.45,0.70,0.85,0.50,0.65,0.40
Data Privacy Officer,950000,"Compliance load, risk management","Oversee data protection, privacy policies","Legal,Data Governance,Auditing","Technology,Legal","Moderate openness, high conscientiousness",0.85,0.90,0.75,0.60,0.85,1.0,0.90,0.40,0.50,0.70,0.80,0.60,0.60,0.40
Product Manager,1200000,"Cross-functional coordination","Define product vision, manage roadmap","Leadership,Market Research,Strategy","Business,Technology","High extraversion, moderate openness",0.70,0.80,0.85,0.70,0.80,0.80,0.75,0.40,0.90,0.85,0.75,0.65,0.70,0.45
Business Analyst,900000,"Client communication, solution design","Analyze business processes, propose improvements","Documentation,Data Analysis,Modeling","Business,Problem-Solving","Moderate openness, moderate conscientiousness",0.65,0.80,0.80,0.60,0.75,0.80,0.70,0.40,0.60,0.75,0.70,0.60,0.65,0.40
Management Consultant,1300000,"Travel, client pressure","Advise organizations on strategy and ops","Presentation,Analytical,Financial","Business,Leadership","Moderate extraversion, high conscientiousness",0.70,0.85,0.80,0.65,0.80,0.80,0.70,0.35,0.80,0.80,0.75,0.65,0.70,0.40
Operations Research Analyst,800000,"Complex problem-solving","Optimize processes using mathematical methods","Statistics,Linear Programming,Logic","Business,Research","High analytical, moderate openness",0.80,0.90,0.60,0.50,0.70,0.80,0.85,0.30,0.40,0.60,0.75,0.55,0.50,0.35
Renewable Energy Project Manager,1000000,"Project deadlines, stakeholder management","Oversee renewable energy installations","Project Management,Solar,Wind","Environment,Business","High conscientiousness, moderate openness",0.75,0.80,0.75,0.65,0.85,1.0,0.70,0.55,0.80,0.70,0.78,0.60,0.70,0.40
EdTech Curriculum Designer,700000,"Creative content creation","Develop educational modules for online platforms","Instructional Design,Subject Matter","Education,Technology","Moderate openness, moderate agreeableness",0.60,0.65,0.80,0.80,0.80,0.60,0.65,0.70,0.40,0.75,0.70,0.60,0.55,0.45
Medical Technologist,650000,"Lab environment, precision","Operate and maintain medical lab equipment","Lab Procedures,Diagnostics,Quality Control","Healthcare,Research","High conscientiousness, moderate agreeableness",0.50,0.70,0.60,0.50,0.70,0.80,0.55,0.30,0.50,0.60,0.70,0.65,0.55,0.40
Biotechnologist,800000,"Research labs, experimental failures","Develop biotech products, research processes","Molecular Biology,Genetics,Lab Skills","Healthcare,Research","High openness, moderate conscientiousness",0.70,0.80,0.60,0.65,0.75,0.80,0.75,0.40,0.40,0.70,0.78,0.50,0.60,0.35
Pharmacovigilance Expert,750000,"Regulatory deadlines, data analysis","Monitor drug safety, report adverse events","Pharma,Regulations,Data Entry","Healthcare,Legal","Moderate openness, high conscientiousness",0.65,0.75,0.70,0.50,0.70,0.80,0.65,0.35,0.40,0.60,0.70,0.60,0.65,0.45
Physiotherapist,500000,"Physical therapy, patient care","Rehabilitate patients with exercises","Anatomy,Patient Care,Manual Therapy","Healthcare,Wellness","High agreeableness, moderate openness",0.45,0.60,0.85,0.60,0.75,1.0,0.40,0.30,0.55,0.70,0.80,0.80,0.70,0.50
Telemedicine Specialist,750000,"Remote patient interaction","Deliver healthcare via digital platforms","Medical Knowledge,Telehealth Tools","Healthcare,Technology","High agreeableness, moderate conscientiousness",0.60,0.70,0.80,0.50,0.80,1.0,0.65,0.40,0.50,0.65,0.75,0.70,0.60,0.40
Public Health Officer,600000,"Policy-making, community outreach","Manage public health programs","Epidemiology,Communication,Policy","Government,Healthcare","High conscientiousness, moderate extraversion",0.50,0.70,0.80,0.60,0.75,1.0,0.60,0.30,0.55,0.65,0.70,0.70,0.65,0.45
Occupational Therapist,550000,"Patient rehabilitation, customization","Help patients recover essential life skills","Therapy,Anatomy,Empathy","Healthcare,Social Work","High agreeableness, moderate openness",0.40,0.60,0.85,0.70,0.75,0.80,0.40,0.20,0.45,0.70,0.75,0.80,0.65,0.50
Veterinary Doctor,650000,"Animal care, possible emergencies","Diagnose and treat animals","Vet Medicine,Surgery,Empathy","Healthcare,Animals","High agreeableness, moderate openness",0.50,0.70,0.70,0.50,0.75,1.0,0.40,0.20,0.40,0.65,0.70,0.80,0.60,0.45
Nutritionist/Dietitian,500000,"Client-facing, diet planning","Advise on diets for health and wellness","Diet Planning,Nutrition Science,Consultation","Healthcare,Wellness","High agreeableness, moderate conscientiousness",0.40,0.65,0.85,0.60,0.70,0.60,0.50,0.30,0.50,0.70,0.75,0.75,0.65,0.45
Food Technologist,550000,"Quality control, R&D","Develop and improve food products","Food Science,Quality Testing,Regulations","Manufacturing,Research","Moderate openness, moderate conscientiousness",0.45,0.65,0.65,0.60,0.65,0.60,0.60,0.30,0.40,0.60,0.70,0.65,0.55,0.40
Chef,600000,"Kitchen stress, creative demands","Plan and cook meals in restaurants","Culinary Skills,Menu Planning,Hygiene","Hospitality,Arts","High creativity, moderate extraversion",0.40,0.55,0.80,0.85,0.75,0.60,0.40,0.70,0.40,0.75,0.70,0.60,0.65,0.45
Hotel Manager,700000,"Customer service, operational stress","Oversee hotel operations and staff","Hospitality,Leadership,Budgeting","Hospitality,Management","Moderate extraversion, moderate openness",0.50,0.60,0.85,0.50,0.70,0.60,0.40,0.30,0.80,0.70,0.70,0.65,0.60,0.40
Travel Consultant,550000,"Client-facing, itinerary planning","Plan and book travel arrangements","Geography,Customer Service,Sales","Hospitality,Tourism","Moderate extraversion, moderate agreeableness",0.40,0.50,0.85,0.60,0.70,0.50,0.35,0.20,0.70,0.65,0.70,0.70,0.60,0.40
Airline Pilot,2000000,"Long flights, high responsibility","Operate aircraft, ensure passenger safety","Navigation,Team Coordination,Regulations","Transport,Technology","High conscientiousness, moderate extraversion",0.65,0.75,0.70,0.50,0.70,1.0,0.70,0.40,0.60,0.60,0.70,0.60,0.55,0.35
Aerospace Engineer,1800000,"Complex projects, R&D","Design and develop aircraft/spacecraft","CAD,Aerodynamics,Propulsion","Technology,Research","High analytical, moderate openness",0.90,0.90,0.60,0.65,0.80,1.0,0.90,0.45,0.50,0.70,0.85,0.55,0.60,0.30
Teacher (Online Learning),500000,"Student interaction, lesson planning","Conduct virtual classes, assess assignments","Subject Matter,Communication,Patience","Education,Technology","High agreeableness, moderate openness",0.40,0.60,0.85,0.65,0.75,0.60,0.50,0.40,0.55,0.70,0.70,0.70,0.65,0.45
E-Learning Platform Developer,900000,"Platform features, user load","Build and maintain e-learning software","JavaScript,PHP,LMS Tools","Technology,Education","Moderate openness, moderate conscientiousness",0.80,0.85,0.65,0.75,0.80,0.80,0.90,0.50,0.40,0.75,0.80,0.60,0.60,0.40
Librarian (Digital),450000,"Organizing digital resources","Manage e-libraries, help users find info","Cataloging,Search Tools,Archiving","Education,Research","Moderate agreeableness, moderate conscientiousness",0.30,0.50,0.80,0.40,0.50,0.60,0.35,0.20,0.30,0.50,0.65,0.60,0.50,0.35
Gamification Designer,750000,"Creative game mechanics","Use game elements to engage users in apps","Game Design,User Psychology,Prototyping","Arts,Technology","High creativity, moderate openness",0.60,0.70,0.70,0.85,0.75,0.60,0.65,0.80,0.40,0.80,0.75,0.55,0.65,0.40
Cyber Forensics Analyst,1000000,"Investigative work, detail-oriented","Analyze digital evidence for criminal cases","Forensics,Networking,Law Enforcement","Technology,Law Enforcement","Moderate openness, high conscientiousness",0.85,0.90,0.70,0.50,0.75,0.80,0.90,0.40,0.45,0.60,0.80,0.50,0.65,0.40
Maritime Engineer,950000,"Offshore projects, mechanical stress","Design and maintain ships, marine systems","Naval Architecture,Mechanical Design","Engineering,Transportation","Moderate openness, moderate conscientiousness",0.80,0.80,0.60,0.55,0.70,0.80,0.75,0.40,0.40,0.65,0.70,0.55,0.60,0.35
Climate Change Analyst,800000,"Research, data analysis","Study climate patterns, recommend policies","Modeling,Policy,Data Analysis","Environment,Research","High openness, moderate agreeableness",0.75,0.90,0.70,0.70,0.80,1.0,0.70,0.60,0.50,0.80,0.80,0.50,0.65,0.35
Agriculture Specialist,600000,"Field visits, resource planning","Advise on modern farming techniques","Soil Science,Crop Rotation,Logistics","Agriculture,Environment","Moderate openness, moderate conscientiousness",0.50,0.65,0.60,0.50,0.65,0.60,0.45,0.30,0.40,0.60,0.70,0.60,0.55,0.45
Hydroponics Expert,700000,"Indoor farming, system monitoring","Develop and maintain hydroponic setups","Water Chemistry,Plant Biology,Automation","Agriculture,Technology","Moderate openness, moderate agreeableness",0.60,0.70,0.50,0.55,0.70,0.70,0.60,0.40,0.40,0.65,0.70,0.65,0.60,0.40
Aquaculture Manager,650000,"Fish farming, environmental balance","Oversee fish/shrimp farms for max yield","Marine Biology,Operations,Monitoring","Aquaculture,Environment","Moderate agreeableness, moderate conscientiousness",0.55,0.65,0.60,0.50,0.65,0.70,0.50,0.30,0.35,0.60,0.65,0.60,0.55,0.45
Meteorologist,700000,"Irregular hours, weather forecasting","Predict weather patterns, analyze climate data","Atmospheric Science,Modeling,Math","Environment,Research","High openness, moderate conscientiousness",0.60,0.75,0.65,0.50,0.70,0.80,0.60,0.30,0.35,0.70,0.75,0.55,0.60,0.35
Nanotechnology Engineer,1500000,"High-tech labs, precision","Manipulate matter at the nanoscale","Nanofabrication,Physics,Chemistry","Technology,Research","High openness, high analytical thinking",0.93,0.90,0.60,0.70,0.85,1.0,0.95,0.50,0.40,0.85,0.85,0.60,0.50,0.35
AI Ethics Officer,1000000,"Policy creation, responsible AI","Ensure ethical AI usage, guidelines","AI Knowledge,Policy Writing,Compliance","Technology,Legal","High conscientiousness, moderate agreeableness",0.75,0.85,0.75,0.60,0.80,1.0,0.80,0.40,0.70,0.70,0.75,0.65,0.60,0.40
3D Printing Specialist,800000,"Machine operation, design iteration","Print prototypes and custom parts","CAD,Printer Setup,Material Knowledge","Manufacturing,Design","High creativity, moderate openness",0.88,0.80,0.60,0.85,0.85,1.0,0.90,0.80,0.40,0.80,0.80,0.60,0.65,0.45
Industrial Automation Engineer,950000,"PLC controls, factory settings","Automate industrial processes","PLC,Robotics,Electronics","Manufacturing,Technology","Moderate openness, high analytical thinking",0.90,0.90,0.60,0.60,0.80,1.0,0.92,0.40,0.45,0.65,0.85,0.50,0.55,0.35
Social Media Manager,600000,"Brand management, real-time communication","Handle social media presence, content","Content Creation,Analytics,Engagement","Media,Marketing","Moderate extraversion, moderate creativity",0.50,0.60,0.85,0.80,0.75,0.60,0.40,0.70,0.70,0.70,0.70,0.65,0.65,0.40
Virtual Event Coordinator,550000,"Online platforms, scheduling","Organize and run virtual conferences/workshops","Event Planning,Tech Tools,Client Handling","Business,Technology","Moderate extraversion, moderate agreeableness",0.45,0.55,0.85,0.80,0.80,0.60,0.35,0.75,0.80,0.65,0.70,0.70,0.65,0.45
Supply Chain Analyst,700000,"Logistics planning, data crunching","Optimize flow of goods, reduce costs","Excel,Optimization,ERP","Business,Manufacturing","High analytical, moderate openness",0.80,0.90,0.65,0.40,0.70,0.80,0.70,0.30,0.40,0.65,0.75,0.55,0.50,0.35
Logistics Manager,800000,"Warehousing, delivery coordination","Manage logistics, inventory, shipments","Planning,Negotiation,Transport","Business,Operations","Moderate extraversion, moderate conscientiousness",0.65,0.70,0.70,0.40,0.70,0.60,0.60,0.30,0.70,0.70,0.70,0.60,0.60,0.45
Chartered Accountant,900000,"Tax seasons, financial accuracy","Handle accounting, auditing, tax filings","Accounting,Excel,Legal Compliance","Business,Finance","High conscientiousness, moderate openness",0.50,0.80,0.70,0.40,0.65,0.80,0.50,0.30,0.60,0.65,0.70,0.70,0.55,0.40
Financial Planner,650000,"Client engagement, risk management","Advise individuals on investment strategies","Investment,Communication,Analysis","Business,Finance","Moderate extraversion, moderate conscientiousness",0.55,0.70,0.80,0.40,0.70,0.60,0.55,0.30,0.60,0.65,0.65,0.60,0.60,0.40
Investment Banker,2000000,"Long hours, high pressure","Advise on mergers, acquisitions, fundraising","Valuation,Negotiation,Financial Modeling","Business,Finance","Moderate extraversion, high conscientiousness",0.70,0.90,0.85,0.50,0.80,0.80,0.75,0.30,0.85,0.75,0.80,0.60,0.65,0.35
Stock Market Analyst,850000,"Volatile markets, mental pressure","Analyze market trends, advise trades","Technical Analysis,Excel,Finance","Business,Analytics","Moderate openness, moderate conscientiousness",0.65,0.85,0.70,0.50,0.65,0.60,0.70,0.40,0.40,0.60,0.70,0.60,0.65,0.45
Insurance Advisor,500000,"Client trust, policy details","Sell insurance policies, assess risks","Communication,Sales,Policy","Business,Finance","Moderate agreeableness, moderate extraversion",0.40,0.60,0.80,0.50,0.60,0.50,0.35,0.20,0.70,0.65,0.60,0.70,0.60,0.40
Lawyer,1000000,"Court appearances, client deadlines","Represent clients in legal matters","Legal Research,Negotiation,Public Speaking","Legal,Government","Moderate extraversion, high conscientiousness",0.50,0.75,0.90,0.55,0.80,0.80,0.65,0.55,0.85,0.75,0.70,0.70,0.65,0.45
Legal Tech Consultant,1100000,"Complex legal-tech solutions","Implement tech for legal firms","Legal,Project Management,Software","Technology,Legal","Moderate openness, moderate conscientiousness",0.70,0.80,0.65,0.60,0.75,0.80,0.75,0.40,0.50,0.65,0.70,0.55,0.60,0.35
